,id,energy
0,7746,-66.69520210922246
1,7473,-74.29394327686379
2,7183,-65.55091831494853
3,7364,-97.14901215400582
4,7295,-85.80210827852237
5,7304,-69.76756991175277
6,6626,-64.0979223101925
7,7833,-97.22818788400556
8,7597,-97.19950173400561
9,7766,-89.972386443595
10,7830,-74.90818839468288
11,7246,-89.90196529483521
12,7599,-82.9068777055046
13,6612,-85.88183004925214
14,7260,-84.42094974534434
15,7842,-83.77725045409444
16,7715,-90.01371974475512
17,6651,-75.75756273909415
18,7262,-89.88034362015522
19,7605,-79.8761065213229
20,7591,-72.81546602962065
21,7979,-57.66074986004127
22,6769,-85.27691514376188
23,8195,-83.94640258431434
24,8192,-67.78931766040206
25,7052,-90.6558996696147
26,8198,-90.958207006005
27,7635,-78.4001465956044
28,7024,-82.5948876432845
29,6901,-97.15950535400577
30,7345,-81.45237878639418
31,7243,-83.52597675722446
32,6998,-73.50591553124012
33,6794,-83.49666704202446
34,7567,-73.85912103109379
35,6884,-70.44190465346328
36,7606,-60.60826887220037
37,7760,-89.66089096556512
38,6915,-74.78112335294428
39,6608,-86.17482381164365
40,6788,-89.9580139570251
41,7164,-63.111161590982746
42,6658,-68.65287701027323
43,6938,-90.69371533772484
44,7289,-76.06945512803358
45,7794,-78.79627175179301
46,6917,-90.98591798600502
47,6833,-72.36733442207291
48,6677,-79.04582597248314
49,7122,-74.05411314396301
50,6637,-65.20804997761041
51,7497,-97.17185950400574
52,7282,-69.73528722621342
53,7449,-87.99683048523256
54,7029,-97.15511177400583
55,6663,-68.48922861083327
56,7374,-75.54231008693424
57,7770,-72.07760669918342
58,7699,-74.24678732764345
59,8147,-90.65731294802495
60,8185,-74.96281203453414
61,8219,-85.88593664890304
62,6966,-75.4815831920941
63,7003,-89.73924875205499
64,7190,-74.31815135089398
65,7425,-82.82712819534453
66,6920,-88.0796396948033
67,7315,-70.94892386752208
68,8207,-70.30807638882348
69,7280,-86.29423577783226
70,7529,-97.1555104740055
71,7690,-90.25955877986519
