id,energy
6592,-88.68468
6593,-99.58181
6594,-68.13442
6595,-55.684345
6596,-84.59781
6597,-90.70573
6598,-76.26293
6599,-96.872
6600,-84.791626
6601,-66.551155
6602,-75.31223
6603,-74.91937
6604,-84.58777
6605,-89.37708
6606,-78.605225
6607,-90.40249
6608,-83.66855
6609,-69.41761
6610,-84.95126
6611,-84.675606
6612,-82.83779
6613,-83.30033
6614,-87.89786
6615,-90.28557
6616,-89.935234
6617,-73.91792
6618,-57.53376
6619,-82.26847
6620,-76.203186
6621,-70.16131
6622,-79.666794
6623,-75.60137
6624,-89.30771
6625,-90.890144
6626,-67.33777
6627,-72.17263
6628,-74.66501
6629,-76.518196
6630,-76.56572
6631,-69.13654
6632,-83.46951
6633,-63.21065
6634,-83.69144
6635,-92.04345
6636,-55.63678
6637,-64.28533
6638,-75.67325
6639,-74.17836
6640,-69.68664
6641,-73.61118
6642,-91.91904
6643,-80.41938
6644,-83.596176
6645,-97.10061
6646,-72.59873
6647,-43.012623
6648,-75.11269
6649,-70.888374
6650,-47.787987
6651,-73.971054
6652,-83.35025
6653,-76.18085
6654,-83.98002
6655,-82.979706
6656,-68.32382
6657,-85.926674
6658,-68.459465
6659,-76.77198
6660,-96.50083
6661,-79.33951
6662,-85.05286
6663,-69.2867
6664,-95.4769
6665,-89.99001
6666,-83.674164
6667,-90.65536
6668,-82.28658
6669,-65.774
6670,-55.917843
6671,-61.454334
6672,-63.215942
6673,-98.093216
6674,-85.12848
6675,-63.25249
6676,-63.40887
6677,-76.88073
6678,-63.55536
6679,-71.623726
6680,-77.47877
6681,-72.49667
6682,-50.66544
6683,-62.92747
6684,-84.86241
6685,-83.4112
6686,-81.16203
6687,-73.847466
6688,-62.752552
6689,-102.30886
6690,-72.05282
6691,-56.589157
6692,-54.84854
6693,-66.3476
6694,-66.38356
6695,-89.611824
6696,-74.6
6697,-64.24196
6698,-57.781105
6699,-83.73338
6700,-74.33039
6701,-61.49652
6702,-77.94194
6703,-67.85253
6704,-70.13831
6705,-83.70745
6706,-67.66678
6707,-81.33406
6708,-76.59031
6709,-78.17402
6710,-69.04717
6711,-74.97888
6712,-96.90417
6713,-96.77725
6714,-67.46632
6715,-91.11391
6716,-91.82705
6717,-90.90645
6718,-101.545204
6719,-83.79304
6720,-85.01965
6721,-63.078457
6722,-83.505516
6723,-78.544334
6724,-74.62201
6725,-90.45744
6726,-90.54732
6727,-69.283844
6728,-83.61582
6729,-79.91843
6730,-71.10868
6731,-71.66732
6732,-83.12114
6733,-90.19071
6734,-70.81727
6735,-72.86214
6736,-83.82448
6737,-97.52726
6738,-62.95658
6739,-72.99009
6740,-71.77334
6741,-91.76994
6742,-63.146324
6743,-97.46873
6744,-63.81467
6745,-69.714645
6746,-76.70056
6747,-65.84057
6748,-75.02693
6749,-63.302147
6750,-69.39698
6751,-78.07762
6752,-64.83595
6753,-73.288
6754,-85.85438
6755,-75.83202
6756,-97.40237
6757,-68.25621
6758,-75.01497
6759,-55.637913
6760,-97.21826
6761,-49.419212
6762,-84.83095
6763,-66.941315
6764,-75.79378
6765,-83.37392
6766,-55.87223
6767,-91.7134
6768,-61.920334
6769,-83.04352
6770,-85.43384
6771,-78.58735
6772,-83.92435
6773,-83.153
6774,-69.17902
6775,-68.51178
6776,-76.1586
6777,-66.69281
6778,-90.41849
6779,-88.3415
6780,-89.42637
6781,-91.263855
6782,-62.870857
6783,-76.60807
6784,-91.10836
6785,-69.25371
6786,-95.96808
6787,-90.05376
6788,-90.2401
6789,-83.42794
6790,-78.383354
6791,-57.832153
6792,-74.8163
6793,-74.345955
6794,-83.356026
6795,-83.11318
6796,-97.01715
6797,-67.547325
6798,-67.42057
6799,-63.17906
6800,-73.71206
6801,-75.45078
6802,-80.034035
6803,-72.34816
6804,-76.80218
6805,-56.451103
6806,-83.50779
6807,-72.56912
6808,-69.3514
6809,-54.589714
6810,-75.43912
6811,-74.027176
6812,-99.810104
6813,-64.33348
6814,-55.22593
6815,-92.425064
6816,-56.462227
6817,-91.80971
6818,-96.656296
6819,-96.961044
6820,-97.51539
6821,-72.26531
6822,-75.58009
6823,-74.83134
6824,-65.095856
6825,-77.0537
6826,-90.344475
6827,-68.842415
6828,-69.13936
6829,-77.737495
6830,-61.79142
6831,-90.65747
6832,-64.14304
6833,-69.537674
6834,-75.07765
6835,-97.25615
6836,-77.85658
6837,-91.04116
6838,-90.02942
6839,-84.27767
6840,-91.07411
6841,-76.12617
6842,-85.70704
6843,-75.9015
6844,-96.69818
6845,-67.95594
6846,-90.86652
6847,-99.98421
6848,-83.31207
6849,-97.44242
6850,-74.8196
6851,-67.43187
6852,-62.580383
6853,-75.99109
6854,-60.92756
6855,-71.69642
6856,-62.232777
6857,-62.72071
6858,-72.21542
6859,-69.665184
6860,-85.14798
6861,-62.048447
6862,-73.01762
6863,-76.64879
6864,-66.352036
6865,-74.19014
6866,-89.875305
6867,-78.73027
6868,-84.99691
6869,-83.44806
6870,-84.36122
6871,-89.894135
6872,-83.590416
6873,-84.68627
6874,-71.52607
6875,-97.24176
6876,-74.567474
6877,-69.11006
6878,-68.27055
6879,-55.804497
6880,-75.898346
6881,-83.37375
6882,-92.27127
6883,-96.36595
6884,-71.18487
6885,-77.08558
6886,-65.02793
6887,-61.351807
6888,-91.287605
6889,-77.664024
6890,-74.58819
6891,-90.22291
6892,-78.82303
6893,-62.275368
6894,-82.37633
6895,-83.88124
6896,-69.693596
6897,-83.84082
6898,-65.33067
6899,-76.71694
6900,-60.92733
6901,-97.752106
6902,-90.30342
6903,-78.5122
6904,-69.04787
6905,-96.60126
6906,-83.99068
6907,-61.380486
6908,-85.340805
6909,-69.53686
6910,-68.293884
6911,-77.57012
6912,-78.50193
6913,-97.15025
6914,-71.08033
6915,-75.206245
6916,-84.5876
6917,-90.26725
6918,-103.08389
6919,-84.424416
6920,-83.152954
6921,-89.52764
6922,-96.71791
6923,-83.5013
6924,-85.55897
6925,-68.451294
6926,-76.34146
6927,-62.66272
6928,-91.11145
6929,-62.344395
6930,-68.02901
6931,-102.81367
6932,-64.14154
6933,-79.26001
6934,-76.53315
6935,-90.38371
6936,-78.51774
6937,-53.70658
6938,-88.276306
6939,-62.169724
6940,-74.512535
6941,-76.08547
6942,-67.90039
6943,-75.3359
6944,-72.36453
6945,-68.17978
6946,-57.508587
6947,-92.08407
6948,-68.69751
6949,-69.53936
6950,-62.309917
6951,-97.64073
6952,-76.2159
6953,-83.46627
6954,-103.31332
6955,-84.19899
6956,-50.328102
6957,-90.34538
6958,-84.28994
6959,-84.1938
6960,-66.92548
6961,-76.83059
6962,-53.284348
6963,-75.15645
6964,-76.571075
6965,-54.506283
6966,-74.47958
6967,-84.13346
6968,-81.83233
6969,-69.57042
6970,-62.54307
6971,-69.537155
6972,-82.956154
6973,-102.18721
6974,-91.48627
6975,-97.622635
6976,-90.87966
6977,-96.923256
6978,-90.116486
6979,-84.9812
6980,-69.98267
6981,-72.556984
6982,-76.78164
6983,-84.10965
6984,-77.01697
6985,-83.76315
6986,-69.37392
6987,-77.80189
6988,-85.95632
6989,-83.76538
6990,-63.1069
6991,-91.97322
6992,-54.89517
6993,-74.1509
6994,-83.00347
6995,-62.465202
6996,-77.99924
6997,-83.07817
6998,-79.90154
6999,-90.443565
7000,-91.31889
7001,-76.66771
7002,-85.784035
7003,-90.880646
7004,-73.5686
7005,-90.032684
7006,-61.856445
7007,-68.64004
7008,-57.69227
7009,-74.23643
7010,-61.64863
7011,-67.85536
7012,-60.899677
7013,-69.139145
7014,-92.519714
7015,-48.52437
7016,-72.7274
7017,-83.8098
7018,-74.82185
7019,-84.69428
7020,-55.90796
7021,-74.38763
7022,-103.36131
7023,-67.00613
7024,-75.10568
7025,-77.51826
7026,-67.48306
7027,-75.64716
7028,-68.6261
7029,-96.62597
7030,-82.72039
7031,-74.7092
7032,-77.02445
7033,-82.356
7034,-89.81737
7035,-78.28343
7036,-89.6957
7037,-64.75698
7038,-103.07377
7039,-69.735306
7040,-74.50944
7041,-70.31754
7042,-91.265785
7043,-71.079796
7044,-76.40921
7045,-83.468864
7046,-72.81179
7047,-75.67016
7048,-79.23791
7049,-70.48614
7050,-86.05902
7051,-90.31278
7052,-89.73353
7053,-53.352623
7054,-89.79258
7055,-60.61773
7056,-95.856766
7057,-92.179886
7058,-103.46655
7059,-90.52721
7060,-67.526085
7061,-103.43807
7062,-94.88846
7063,-89.82012
7064,-78.0086
7065,-103.14601
7066,-91.01362
7067,-91.22225
7068,-64.27527
7069,-82.95289
7070,-77.87155
7071,-83.62938
7072,-96.69458
7073,-84.895325
7074,-84.3735
7075,-92.608826
7076,-73.235374
7077,-84.66149
7078,-70.031265
7079,-75.949036
7080,-70.65338
7081,-90.58835
7082,-90.31099
7083,-83.40836
7084,-50.781113
7085,-67.68973
7086,-66.164154
7087,-90.36615
7088,-75.25196
7089,-74.12511
7090,-63.726387
7091,-72.52546
