id,energy
6592,-90.70554576786381
6593,-96.7049284742048
6594,-67.98528095026558
6595,-55.22936514448946
6596,-84.88038103607772
6597,-90.18130380100637
6598,-76.36616858485098
6599,-97.19273556475645
6600,-84.95437488410332
6601,-66.75419699643166
6602,-77.06920778877875
6603,-74.97891938092646
6604,-84.41873284596824
6605,-90.2920058907392
6606,-79.00181299884045
6607,-90.74797880674562
6608,-83.5485166615698
6609,-69.39219009176621
6610,-84.70033767975525
6611,-84.59091731375636
6612,-83.39281386938163
6613,-83.7519566366032
6614,-90.51801606673095
6615,-90.38755267873363
6616,-90.30456261134624
6617,-74.09302444614633
6618,-58.58964016586545
6619,-84.56322389095384
6620,-77.0056349642152
6621,-69.63559739572685
6622,-78.85029348925457
6623,-75.95611252516318
6624,-90.28106399500977
6625,-90.34014878269446
6626,-66.77151651376491
6627,-72.823459621021
6628,-75.17251016779012
6629,-76.25398923370018
6630,-76.49763080299516
6631,-69.8763729380902
6632,-83.38442574671289
6633,-63.46302881149268
6634,-83.98753963539184
6635,-91.19397048803548
6636,-55.59087733597562
6637,-64.30485845495787
6638,-75.34517732535866
6639,-74.2405942183212
6640,-69.3685510476738
6641,-73.6947110536868
6642,-90.86982573734038
6643,-80.9403659057765
6644,-83.67529768877293
6645,-97.12533094603873
6646,-73.53701631162005
6647,-42.6908492754458
6648,-75.02266640524597
6649,-71.84804265679257
6650,-46.74286661860856
6651,-74.31099112685015
6652,-84.14235385757706
6653,-76.11776634089698
6654,-84.35100891905711
6655,-83.1781760137295
6656,-69.07157329632719
6657,-85.7516831182712
6658,-68.6013476158951
6659,-76.81677825061938
6660,-97.13832032763804
6661,-78.47131162251347
6662,-84.7394302814517
6663,-68.75103999104509
6664,-97.13787352894605
6665,-90.5063192411052
6666,-83.57257534785501
6667,-91.02313673388608
6668,-82.34320579248714
6669,-65.74947588529666
6670,-55.60293535263386
6671,-61.51998558191036
6672,-63.37339722564825
6673,-96.65659817934231
6674,-84.72953938726802
6675,-63.538949699625064
6676,-57.646209346421486
6677,-76.76218260616238
6678,-63.0746293329418
6679,-72.01825994505194
6680,-77.26011298265618
6681,-72.18835299593626
6682,-49.57193725696925
6683,-63.42118932256351
6684,-84.21169558371201
6685,-83.53056179316793
6686,-81.27687478539563
6687,-74.16211443958561
6688,-63.448145470304866
6689,-103.3954035996571
6690,-72.63006360095959
6691,-58.53042076711806
6692,-54.61050727813853
6693,-66.67698135779952
6694,-66.20897314503318
6695,-90.17536303636209
6696,-74.56241988066576
6697,-63.65849179278524
6698,-58.01725814839352
6699,-84.01393431462034
6700,-74.68167254652127
6701,-61.507739126310554
6702,-77.99253054820991
6703,-68.0794667578829
6704,-69.53574981193997
6705,-83.54099527459185
6706,-67.50274161931344
6707,-81.3504329752059
6708,-75.95282303645604
6709,-77.75861792120936
6710,-69.00968915090279
6711,-74.8994801731505
6712,-97.38429912425173
6713,-97.16035537846923
6714,-67.66363551302496
6715,-90.99210495153918
6716,-90.98497056058723
6717,-91.26146848138661
6718,-103.45459719194395
6719,-83.58985275139801
6720,-84.44579631858615
6721,-63.08453801780252
6722,-83.28830651811683
6723,-78.53745748270111
6724,-74.56133883928348
6725,-90.35385571649715
6726,-90.24401063882733
6727,-69.44413716820648
6728,-83.69961376824824
6729,-79.99178877136802
6730,-71.30029488039372
6731,-70.77162439852484
6732,-83.4850152369049
6733,-90.08466619714179
6734,-70.56569820276243
6735,-72.62353761473628
6736,-84.05513764330098
6737,-97.08021769501615
6738,-63.22481545116031
6739,-72.8072765121523
6740,-72.07728808858514
6741,-90.28821818389999
6742,-62.973706967460366
6743,-97.29711752233881
6744,-64.49029232358785
6745,-69.90710034307406
6746,-77.350647040978
6747,-66.68252653812851
6748,-75.86066818524617
6749,-63.81941080252176
6750,-69.68639090090268
6751,-78.9677575086624
6752,-64.78628161932473
6753,-71.59407358005991
6754,-84.83571107761128
6755,-75.78380578747505
6756,-97.36748706028737
6757,-68.43658575987976
6758,-75.14264831864625
6759,-55.45671313121176
6760,-97.18331638517935
6761,-48.54003448724144
6762,-84.11433744890965
6763,-67.2308271645818
6764,-75.19115072882622
6765,-83.02273343138836
6766,-55.602535873402296
6767,-91.23283276034796
6768,-61.19760209970454
6769,-83.42647186767742
6770,-84.88454392554829
6771,-77.56560220363478
6772,-84.63531191559493
6773,-83.07455969831517
6774,-69.70468896057889
6775,-68.15867633503187
6776,-75.89660429492992
6777,-66.79896736027246
6778,-90.42375237932066
6779,-90.33753368224929
6780,-90.60515833937461
6781,-91.39400587848611
6782,-63.07265378502581
6783,-76.24358731195201
6784,-91.18094453068926
6785,-69.56199391022156
6786,-96.63957584544879
6787,-90.4352162701469
6788,-90.64174358185716
6789,-83.81924348302809
6790,-77.90043749655159
6791,-58.69959865744909
6792,-74.85364208568495
6793,-74.68110763336914
6794,-83.24208054987423
6795,-83.76980437132617
6796,-97.24646725589386
6797,-68.00418657573827
6798,-67.10737733441474
6799,-62.88739867589332
6800,-72.15328849899656
6801,-75.4864446466057
6802,-80.97474595720075
6803,-71.50733582554906
6804,-77.46727425306382
6805,-56.74985327809037
6806,-84.08088210239721
6807,-72.95258558947805
6808,-69.48489697510733
6809,-54.108107921087765
6810,-75.55788976651996
6811,-74.11203248253526
6812,-103.29435741558441
6813,-65.0191897430615
6814,-54.405049686767654
6815,-91.6763728660342
6816,-55.842942712318454
6817,-91.27706394632133
6818,-97.3864382562256
6819,-97.29140955953781
6820,-97.32864873877901
6821,-73.25810836963308
6822,-78.22444414926903
6823,-74.96462570299656
6824,-64.73983159063988
6825,-76.9146712373545
6826,-90.38413437480033
6827,-68.612944615211
6828,-68.09470500683565
6829,-77.25443762665
6830,-61.18560164076979
6831,-90.76263647869942
6832,-66.91517373651297
6833,-69.52867638974966
6834,-75.15628578997419
6835,-97.03404766234843
6836,-77.20157959330169
6837,-91.26478913664307
6838,-90.41400451228874
6839,-84.2595280165321
6840,-91.05503083958337
6841,-77.13983227626512
6842,-85.93430837634992
6843,-76.11381544510279
6844,-97.17767755287139
6845,-68.30175224185923
6846,-91.29424168610764
6847,-97.14684951946532
6848,-84.14348232915823
6849,-97.30940368151391
6850,-75.06616713901431
6851,-66.75972607319608
6852,-62.04805095043878
6853,-76.15674340732352
6854,-61.13424295004799
6855,-71.98114518071345
6856,-63.100334725881936
6857,-63.111663994241525
6858,-72.10185696142553
6859,-69.38747726217848
6860,-84.96374054904857
6861,-61.76663317935525
6862,-73.16798990167995
6863,-78.78315680158695
6864,-66.17029684110923
6865,-74.5486439167511
6866,-91.02134946482576
6867,-77.83453140875777
6868,-84.79099216147539
6869,-83.64936765401863
6870,-86.11583952784216
6871,-89.88668304169924
6872,-83.78382156974968
6873,-83.9706423636766
6874,-71.24423305147361
6875,-97.19900608289387
6876,-74.75125761070275
6877,-69.34725732500593
6878,-68.06580800468677
6879,-55.147674386657656
6880,-74.4736608026893
6881,-83.4780414944654
6882,-91.28338221567257
6883,-97.08334751446114
6884,-70.90829382564343
6885,-77.15433760401694
6886,-65.68249109639396
6887,-60.94572521098065
6888,-91.05134910183311
6889,-76.18603189226648
6890,-74.62373311783995
6891,-90.51384679359718
6892,-77.94725431528232
6893,-61.69801820691406
6894,-78.97000889035807
6895,-83.47214621686464
6896,-69.36281674142718
6897,-83.54758740736266
6898,-66.07267521975135
6899,-76.15073569361608
6900,-60.983212465645124
6901,-97.12510976057214
6902,-90.27727576877244
6903,-79.13923172679118
6904,-68.85011289345633
6905,-97.20613859580439
6906,-84.20779814762565
6907,-60.96614968237852
6908,-85.54173229947624
6909,-69.78328688497572
6910,-67.80315498637708
6911,-77.19959281556055
6912,-76.98776160457035
6913,-97.24948271332156
6914,-70.63995530920874
6915,-74.56146409303
6916,-84.28072470117063
6917,-91.11732790092272
6918,-103.39366005826327
